Year,Team,Opponent,Team_Points,Opponent_Points
2003,abilene-christian,,,
2003,air-force,louisville,47,65
2003,air-force,stetson,72,43
2003,air-force,arkansas-state,57,52
2003,air-force,tennessee-tech,47,60
2003,air-force,texas-pan-american,65,44
2003,air-force,georgia-southern,70,56
2003,air-force,belmont,85,76
2003,air-force,oakland,44,61
2003,air-force,alabama-birmingham,59,69
2003,air-force,texas-el-paso,63,45
2003,air-force,georgia-southern,78,40
2003,air-force,navy,56,43
2003,air-force,savannah-state,56,33
2003,air-force,san-diego-state,48,63
2003,air-force,colorado-state,49,51
2003,air-force,wyoming,44,46
2003,air-force,nevada-las-vegas,75,71
2003,air-force,utah,35,45
2003,air-force,brigham-young,33,65
2003,air-force,new-mexico,59,73
2003,air-force,colorado-state,80,75
2003,air-force,wyoming,57,64
2003,air-force,san-diego-state,53,67
2003,air-force,nevada-las-vegas,70,74
2003,air-force,brigham-young,43,56
2003,air-force,utah,52,57
2003,air-force,new-mexico,68,60
2003,air-force,utah,38,42
2003,akron,wright-state,75,78
2003,akron,oakland,88,84
2003,akron,cleveland-state,65,68
2003,akron,james-madison,82,84
2003,akron,iona,85,78
2003,akron,niagara,71,77
2003,akron,radford,97,64
2003,akron,hampton,84,79
2003,akron,ball-state,105,104
2003,akron,ohio,104,112
2003,akron,buffalo,89,71
2003,akron,bowling-green-state,60,74
2003,akron,miami-oh,59,74
2003,akron,kent-state,72,79
2003,akron,western-michigan,52,68
2003,akron,northern-illinois,101,100
2003,akron,eastern-michigan,96,80
2003,akron,toledo,78,67
2003,akron,central-michigan,92,99
2003,akron,marshall,58,74
2003,akron,miami-oh,53,55
2003,akron,ohio,84,82
2003,akron,central-michigan,70,69
2003,akron,kent-state,85,70
2003,akron,marshall,79,71
2003,akron,buffalo,66,70
2003,akron,ohio,77,79
2003,alabama-am,vanderbilt,40,68
2003,alabama-am,mississippi-state,58,100
2003,alabama-am,south-carolina-state,75,88
2003,alabama-am,savannah-state,97,78
2003,alabama-am,morris-brown,65,58
2003,alabama-am,florida-am,89,91
2003,alabama-am,alabama-birmingham,69,91
2003,alabama-am,grambling,74,70
2003,alabama-am,jackson-state,68,82
2003,alabama-am,mississippi-valley-state,81,91
2003,alabama-am,arkansas-pine-bluff,66,65
2003,alabama-am,alabama-state,52,53
2003,alabama-am,alcorn-state,65,66
2003,alabama-am,southern,60,66
2003,alabama-am,texas-southern,67,72
2003,alabama-am,prairie-view,67,79
2003,alabama-am,mississippi-valley-state,72,103
2003,alabama-am,arkansas-pine-bluff,72,54
2003,alabama-am,alabama-state,74,85
2003,alabama-am,morris-brown,92,58
2003,alabama-am,alcorn-state,71,79
2003,alabama-am,southern,93,94
2003,alabama-am,texas-southern,90,82
2003,alabama-am,prairie-view,75,76
2003,alabama-am,grambling,62,63
2003,alabama-am,jackson-state,72,81
2003,alabama,oklahoma,68,62
2003,alabama,alabama-state,82,56
2003,alabama,middle-tennessee,80,65
2003,alabama,ohio-state,54,48
2003,alabama,north-carolina-greensboro,89,61
2003,alabama,st-bonaventure,77,68
2003,alabama,bowling-green-state,72,63
2003,alabama,providence,69,61
2003,alabama,morehead-state,82,64
2003,alabama,utah,49,51
2003,alabama,xavier,65,58
2003,alabama,arkansas,61,51
2003,alabama,vanderbilt,69,70
2003,alabama,mississippi-state,68,62
