Year,Team,Opponent,Team_Points,Opponent_Points
2014,abilene-christian,duquesne,75,94
2014,abilene-christian,st-bonaventure,47,75
2014,abilene-christian,maryland,44,67
2014,abilene-christian,iowa,41,103
2014,abilene-christian,texas-christian,64,71
2014,air-force,army,79,68
2014,air-force,virginia-military-institute,63,71
2014,air-force,jackson-state,82,84
2014,air-force,arkansas-pine-bluff,67,64
2014,akron,coastal-carolina,72,63
2014,akron,saint-marys-ca,63,85
2014,akron,middle-tennessee,73,80
2014,alabama-am,new-mexico,52,88
2014,alabama-am,western-michigan,69,73
2014,alabama-am,eastern-kentucky,68,82
2014,alabama,oklahoma,73,82
2014,alabama,texas-tech,76,64
2014,alabama,georgia-state,75,58
2014,alabama-state,illinois,63,80
2014,alabama-state,bradley,59,85
2014,alabama-state,jacksonville-state,84,73
2014,alabama-state,chicago-state,79,75
2014,alabama-birmingham,rutgers,79,76
2014,alabama-birmingham,troy,81,69
2014,alabama-birmingham,new-mexico,94,97
2014,alabama-birmingham,nebraska,87,74
2014,albany-ny,siena,74,62
2014,albany-ny,njit,71,65
2014,albany-ny,quinnipiac,69,79
2014,albany-ny,duquesne,59,70
2014,alcorn-state,creighton,61,107
2014,american,george-mason,60,63
2014,american,maryland-baltimore-county,63,61
2014,american,ohio-state,52,63
2014,appalachian-state,north-carolina-state,77,98
2014,appalachian-state,campbell,66,73
2014,appalachian-state,cincinnati,49,77
2014,appalachian-state,north-carolina-central,70,76
2014,arizona-state,maryland-baltimore-county,96,61
2014,arizona-state,miami-oh,90,54
2014,arizona-state,idaho-state,88,60
2014,arizona-state,nevada-las-vegas,86,80
2014,arizona-state,bradley,70,58
2014,arizona,cal-poly,73,62
2014,arizona,long-beach-state,91,57
2014,arizona,san-diego-state,69,60
2014,arizona,fairleigh-dickinson,100,50
2014,arizona,rhode-island,87,59
2014,arkansas,southern-illinois-edwardsville,99,65
2014,arkansas,louisiana-lafayette,76,63
2014,arkansas,southern-methodist,89,78
2014,arkansas-state,jackson-state,65,61
2014,arkansas-state,tennessee-martin,72,62
2014,arkansas-state,wyoming,64,85
2014,arkansas-state,colorado,70,93
2014,arkansas-little-rock,north-florida,70,72
2014,arkansas-little-rock,florida,56,86
2014,arkansas-little-rock,middle-tennessee,59,76
2014,arkansas-little-rock,southern,85,82
2014,arkansas-pine-bluff,oklahoma-state,63,97
2014,arkansas-pine-bluff,air-force,64,67
2014,army,air-force,68,79
2014,army,citadel,84,69
2014,army,njit,85,89
2014,army,delaware,74,89
2014,auburn,nicholls-state,76,54
2014,auburn,northwestern-state,92,111
2014,auburn,jacksonville-state,78,54
2014,austin-peay,memphis,69,95
2014,austin-peay,southern-illinois,72,70
2014,austin-peay,central-michigan,75,90
2014,austin-peay,cal-state-northridge,77,80
2014,ball-state,indiana-state,73,82
2014,ball-state,southeast-missouri-state,87,83
2014,baylor,colorado,72,60
2014,baylor,south-carolina,66,64
2014,baylor,louisiana-lafayette,87,68
2014,baylor,charleston-southern,69,64
2014,belmont,lipscomb,87,83
2014,belmont,richmond,61,69
2014,belmont,indiana-state,96,95
2014,belmont,north-carolina,83,80
2014,belmont,lipscomb,94,64
2014,bethune-cookman,south-florida,65,91
2014,bethune-cookman,central-florida,63,83
2014,bethune-cookman,florida-international,67,82
2014,binghamton,loyola-md,74,79
2014,binghamton,brown,57,74
2014,binghamton,cornell,89,79
2014,binghamton,navy,50,68
2014,boise-state,texas-arlington,116,87
2014,boise-state,seattle,86,68
2014,boston-college,providence,78,82
2014,boston-college,massachusetts,73,86
2014,boston-college,toledo,92,95
2014,boston-college,florida-atlantic,82,79
2014,boston-college,connecticut,70,72
2014,boston-college,washington,89,78
2014,boston-university,northeastern,72,69
2014,boston-university,massachusetts-lowell,91,65
2014,boston-university,connecticut,60,77
2014,boston-university,eastern-washington,68,80
2014,bowling-green-state,south-florida,61,75
2014,bowling-green-state,wisconsin,64,88
2014,bradley,jacksonville-state,72,65
2014,bradley,alabama-state,85,59
2014,bradley,central-michigan,80,70
2014,bradley,chicago-state,77,64
2014,bradley,illinois,55,81
2014,bradley,arizona-state,58,70
2014,brigham-young,weber-state,81,72
2014,brigham-young,stanford,112,103
2014,brigham-young,mount-st-marys,108,76
2014,brigham-young,iowa-state,88,90
2014,brown,binghamton,74,57
2014,brown,providence,69,73
2014,brown,sacred-heart,85,73
2014,brown,massachusetts-lowell,87,76
2014,brown,longwood,81,69
2014,bryant,gonzaga,76,100
2014,bryant,dartmouth,87,77
2014,bryant,vermont,87,64
2014,bryant,harvard,68,86
2014,bucknell,stanford,68,72
2014,bucknell,penn-state,90,80
2014,bucknell,saint-francis-pa,72,50
2014,bucknell,st-johns-ny,63,67
2014,buffalo,texas-am,58,82
2014,buffalo,niagara,81,92
2014,butler,lamar,89,58
2014,butler,princeton,70,67
2014,butler,vanderbilt,85,77
2014,cal-poly,arizona,62,73
2014,cal-poly,nevada,58,60
2014,cal-poly,fresno-state,46,63
2014,cal-state-bakersfield,washington-state,56,62
2014,cal-state-bakersfield,sacramento-state,74,66
2014,cal-state-bakersfield,nevada,74,66
2014,cal-state-fullerton,montana-state,84,55
2014,cal-state-fullerton,seattle,71,75
2014,cal-state-fullerton,santa-clara,86,73
2014,cal-state-fullerton,southern-california,62,76
2014,cal-state-northridge,southern-california,79,95
2014,cal-state-northridge,fresno-state,64,80
2014,cal-state-northridge,montana-state,74,73
2014,cal-state-northridge,austin-peay,80,77
2014,california,coppin-state,83,64
2014,california,denver,77,50
2014,california,oakland,64,60
2014,california,southern-utah,75,47
2014,california-davis,portland,83,100
2014,california-davis,utah,60,94
2014,california-davis,southern-illinois-edwardsville,80,75
2014,california-irvine,fresno-state,97,98
2014,california-irvine,pacific,79,84
2014,california-irvine,washington,86,72
2014,california-irvine,long-island-university,84,64
2014,california-riverside,san-diego-state,41,77
2014,california-riverside,pepperdine,66,69
2014,california-riverside,montana-state,72,67
2014,california-santa-barbara,nevada-las-vegas,86,65
2014,california-santa-barbara,utah-state,64,71
2014,california-santa-barbara,colorado,68,76
2014,campbell,appalachian-state,73,66
2014,campbell,north-carolina-state,66,81
2014,campbell,north-carolina-central,43,62
2014,campbell,cincinnati,62,81
2014,canisius,south-dakota,71,66
2014,canisius,st-bonaventure,64,86
2014,canisius,rutgers,51,66
2014,canisius,elon,86,85
2014,central-arkansas,southern-illinois-edwardsville,93,100
2014,central-arkansas,louisiana-tech,57,94
2014,central-connecticut-state,yale,77,93
2014,central-connecticut-state,purdue,73,109
2014,central-connecticut-state,northeastern,69,83
2014,central-florida,florida-state,68,80
2014,central-florida,bethune-cookman,83,63
2014,central-florida,miami-fl,63,58
2014,central-michigan,bradley,70,80
2014,central-michigan,pepperdine,71,88
2014,central-michigan,austin-peay,90,75
2014,central-michigan,montana-state,54,59
2014,charleston-southern,delaware,95,93
2014,charleston-southern,north-carolina-wilmington,78,80
2014,charleston-southern,new-mexico,93,109
2014,charleston-southern,baylor,64,69
2014,charlotte,east-tennessee-state,80,75
2014,charlotte,college-of-charleston,82,83
2014,charlotte,elon,83,69
2014,charlotte,kansas-state,68,61
2014,charlotte,northeastern,86,77
2014,chattanooga,radford,78,89
2014,chattanooga,kennesaw-state,69,73
2014,chattanooga,nevada,81,83
2014,chicago-state,indiana,72,100
2014,chicago-state,jacksonville-state,79,75
2014,chicago-state,bradley,64,77
2014,chicago-state,alabama-state,75,79
2014,chicago-state,illinois,53,77
