Team,Year,G,MP,FG,FGA,FGp,2P,2PA,2Pp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSg
abilene-christian,2014,10.0,2000.0,201.0,533.0,0.377,135.0,324.0,0.417,66.0,209.0,0.316,137.0,202.0,0.678,103.0,211.0,314.0,107.0,59.0,24.0,138.0,222.0,605.0,60.5
air-force,2014,7.0,1399.0,162.0,344.0,0.471,113.0,211.0,0.536,49.0,133.0,0.368,113.0,167.0,0.677,54.0,170.0,224.0,91.0,46.0,23.0,114.0,134.0,486.0,69.4
akron,2014,3.0,600.0,73.0,173.0,0.422,57.0,113.0,0.504,16.0,60.0,0.267,46.0,73.0,0.63,47.0,59.0,106.0,26.0,32.0,8.0,54.0,64.0,208.0,69.3
alabama-am,2014,6.0,1200.0,137.0,330.0,0.415,89.0,208.0,0.428,48.0,122.0,0.393,81.0,127.0,0.638,49.0,129.0,178.0,81.0,30.0,23.0,61.0,144.0,403.0,67.2
alabama,2014,6.0,1275.0,169.0,348.0,0.486,143.0,260.0,0.55,26.0,88.0,0.295,109.0,150.0,0.727,80.0,150.0,230.0,67.0,50.0,30.0,90.0,116.0,473.0,78.8
alabama-state,2014,5.0,1000.0,130.0,290.0,0.448,101.0,192.0,0.526,29.0,98.0,0.296,84.0,120.0,0.7,64.0,96.0,160.0,64.0,35.0,10.0,54.0,103.0,373.0,74.6
alabama-birmingham,2014,8.0,1650.0,215.0,509.0,0.422,177.0,386.0,0.459,38.0,123.0,0.309,163.0,227.0,0.718,141.0,251.0,392.0,102.0,28.0,30.0,110.0,133.0,631.0,78.9
albany-ny,2014,7.0,1400.0,156.0,348.0,0.448,125.0,260.0,0.481,31.0,88.0,0.352,130.0,168.0,0.774,72.0,165.0,237.0,78.0,37.0,26.0,88.0,120.0,473.0,67.6
alcorn-state,2014,6.0,1250.0,151.0,360.0,0.419,116.0,255.0,0.455,35.0,105.0,0.333,68.0,108.0,0.63,69.0,134.0,203.0,63.0,40.0,28.0,85.0,119.0,405.0,67.5
american,2014,6.0,1225.0,135.0,294.0,0.459,101.0,190.0,0.532,34.0,104.0,0.327,57.0,94.0,0.606,55.0,143.0,198.0,80.0,36.0,24.0,96.0,125.0,361.0,60.2
appalachian-state,2014,6.0,1225.0,153.0,375.0,0.408,123.0,263.0,0.468,30.0,112.0,0.268,70.0,114.0,0.614,94.0,119.0,213.0,58.0,39.0,24.0,71.0,126.0,406.0,67.7
arizona-state,2014,9.0,1800.0,249.0,523.0,0.476,165.0,308.0,0.536,84.0,215.0,0.391,124.0,185.0,0.67,93.0,249.0,342.0,151.0,43.0,58.0,91.0,155.0,706.0,78.4
arizona,2014,8.0,1600.0,221.0,431.0,0.513,171.0,306.0,0.559,50.0,125.0,0.4,145.0,217.0,0.668,100.0,236.0,336.0,127.0,38.0,49.0,97.0,138.0,637.0,79.6
arkansas,2014,7.0,1401.0,208.0,426.0,0.488,157.0,295.0,0.532,51.0,131.0,0.389,153.0,203.0,0.754,88.0,164.0,252.0,112.0,53.0,39.0,89.0,138.0,620.0,88.6
arkansas-state,2014,7.0,1400.0,181.0,409.0,0.443,121.0,254.0,0.476,60.0,155.0,0.387,129.0,178.0,0.725,71.0,182.0,253.0,97.0,47.0,24.0,90.0,113.0,551.0,78.7
arkansas-little-rock,2014,6.0,1225.0,147.0,359.0,0.409,114.0,260.0,0.438,33.0,99.0,0.333,114.0,152.0,0.75,69.0,156.0,225.0,59.0,39.0,21.0,78.0,126.0,441.0,73.5
arkansas-pine-bluff,2014,8.0,1600.0,164.0,414.0,0.396,112.0,267.0,0.419,52.0,147.0,0.354,110.0,157.0,0.701,78.0,149.0,227.0,83.0,80.0,25.0,140.0,179.0,490.0,61.3
army,2014,6.0,1225.0,160.0,394.0,0.406,110.0,199.0,0.553,50.0,195.0,0.256,73.0,101.0,0.723,80.0,126.0,206.0,86.0,39.0,27.0,81.0,121.0,443.0,73.8
auburn,2014,6.0,1200.0,154.0,350.0,0.44,127.0,242.0,0.525,27.0,108.0,0.25,134.0,184.0,0.728,74.0,160.0,234.0,75.0,34.0,28.0,68.0,122.0,469.0,78.2
austin-peay,2014,7.0,1425.0,191.0,390.0,0.49,157.0,275.0,0.571,34.0,115.0,0.296,127.0,198.0,0.641,70.0,167.0,237.0,106.0,53.0,47.0,116.0,130.0,543.0,77.6
ball-state,2014,6.0,1200.0,136.0,321.0,0.424,92.0,195.0,0.472,44.0,126.0,0.349,99.0,137.0,0.723,77.0,140.0,217.0,80.0,24.0,13.0,90.0,117.0,415.0,69.2
baylor,2014,8.0,1600.0,211.0,419.0,0.504,151.0,284.0,0.532,60.0,135.0,0.444,143.0,215.0,0.665,106.0,222.0,328.0,127.0,36.0,48.0,113.0,131.0,625.0,78.1
belmont,2014,10.0,2001.0,282.0,565.0,0.499,191.0,331.0,0.577,91.0,234.0,0.389,172.0,236.0,0.729,96.0,237.0,333.0,163.0,80.0,23.0,134.0,205.0,827.0,82.7
bethune-cookman,2014,10.0,2001.0,239.0,578.0,0.413,172.0,395.0,0.435,67.0,183.0,0.366,139.0,181.0,0.768,134.0,210.0,344.0,106.0,53.0,25.0,127.0,223.0,684.0,68.4
binghamton,2014,7.0,1400.0,141.0,371.0,0.38,93.0,240.0,0.388,48.0,131.0,0.366,124.0,187.0,0.663,79.0,153.0,232.0,60.0,42.0,14.0,101.0,140.0,454.0,64.9
boise-state,2014,7.0,1400.0,216.0,424.0,0.509,159.0,286.0,0.556,57.0,138.0,0.413,166.0,219.0,0.758,78.0,195.0,273.0,88.0,65.0,12.0,72.0,141.0,655.0,93.6
boston-college,2014,7.0,1450.0,175.0,367.0,0.477,122.0,214.0,0.57,53.0,153.0,0.346,156.0,185.0,0.843,54.0,151.0,205.0,90.0,23.0,17.0,83.0,148.0,559.0,79.9
boston-university,2014,8.0,1600.0,205.0,459.0,0.447,147.0,274.0,0.536,58.0,185.0,0.314,104.0,142.0,0.732,71.0,188.0,259.0,109.0,55.0,10.0,88.0,131.0,572.0,71.5
bowling-green-state,2014,6.0,1200.0,141.0,333.0,0.423,125.0,270.0,0.463,16.0,63.0,0.254,71.0,117.0,0.607,65.0,140.0,205.0,60.0,45.0,23.0,70.0,115.0,369.0,61.5
bradley,2014,7.0,1400.0,188.0,387.0,0.486,156.0,290.0,0.538,32.0,97.0,0.33,93.0,132.0,0.705,76.0,182.0,258.0,79.0,42.0,25.0,101.0,141.0,501.0,71.6
brigham-young,2014,9.0,1800.0,289.0,623.0,0.464,244.0,490.0,0.498,45.0,133.0,0.338,180.0,265.0,0.679,111.0,294.0,405.0,163.0,68.0,30.0,96.0,166.0,803.0,89.2
brown,2014,7.0,1399.0,189.0,420.0,0.45,138.0,298.0,0.463,51.0,122.0,0.418,106.0,151.0,0.702,88.0,205.0,293.0,95.0,43.0,35.0,106.0,136.0,535.0,76.4
bryant,2014,6.0,1200.0,157.0,320.0,0.491,127.0,216.0,0.588,30.0,104.0,0.288,104.0,143.0,0.727,49.0,147.0,196.0,65.0,40.0,21.0,78.0,120.0,448.0,74.7
bucknell,2014,7.0,1400.0,187.0,386.0,0.484,138.0,273.0,0.505,49.0,113.0,0.434,64.0,82.0,0.78,51.0,176.0,227.0,91.0,22.0,3.0,69.0,115.0,487.0,69.6
buffalo,2014,5.0,1000.0,121.0,288.0,0.42,92.0,188.0,0.489,29.0,100.0,0.29,94.0,141.0,0.667,70.0,124.0,194.0,65.0,34.0,26.0,71.0,103.0,365.0,73.0
butler,2014,7.0,1452.0,183.0,425.0,0.431,139.0,295.0,0.471,44.0,130.0,0.338,104.0,158.0,0.658,86.0,167.0,253.0,73.0,52.0,18.0,59.0,130.0,514.0,73.4
cal-poly,2014,7.0,1400.0,159.0,376.0,0.423,119.0,228.0,0.522,40.0,148.0,0.27,88.0,130.0,0.677,71.0,164.0,235.0,76.0,31.0,21.0,67.0,151.0,446.0,63.7
cal-state-bakersfield,2014,7.0,1425.0,160.0,355.0,0.451,110.0,231.0,0.476,50.0,124.0,0.403,109.0,165.0,0.661,71.0,153.0,224.0,85.0,51.0,31.0,110.0,164.0,479.0,68.4
cal-state-fullerton,2014,8.0,1600.0,192.0,448.0,0.429,142.0,304.0,0.467,50.0,144.0,0.347,88.0,135.0,0.652,74.0,198.0,272.0,92.0,39.0,14.0,102.0,159.0,522.0,65.3
cal-state-northridge,2014,8.0,1625.0,198.0,446.0,0.444,169.0,357.0,0.473,29.0,89.0,0.326,180.0,225.0,0.8,94.0,178.0,272.0,98.0,72.0,17.0,115.0,177.0,605.0,75.6
california,2014,8.0,1600.0,207.0,455.0,0.455,162.0,323.0,0.502,45.0,132.0,0.341,143.0,207.0,0.691,102.0,231.0,333.0,118.0,49.0,42.0,91.0,134.0,602.0,75.3
california-davis,2014,9.0,1823.0,228.0,502.0,0.454,163.0,313.0,0.521,65.0,189.0,0.344,105.0,156.0,0.673,63.0,215.0,278.0,113.0,42.0,23.0,126.0,188.0,626.0,69.6
california-irvine,2014,9.0,1826.0,270.0,556.0,0.486,217.0,417.0,0.52,53.0,139.0,0.381,147.0,231.0,0.636,106.0,269.0,375.0,169.0,57.0,53.0,109.0,177.0,740.0,82.2
california-riverside,2014,6.0,1201.0,144.0,339.0,0.425,123.0,259.0,0.475,21.0,80.0,0.263,81.0,131.0,0.618,70.0,131.0,201.0,64.0,44.0,25.0,87.0,118.0,390.0,65.0
california-santa-barbara,2014,6.0,1200.0,163.0,322.0,0.506,113.0,202.0,0.559,50.0,120.0,0.417,77.0,117.0,0.658,48.0,147.0,195.0,112.0,34.0,26.0,68.0,132.0,453.0,75.5
campbell,2014,8.0,1625.0,193.0,433.0,0.446,125.0,248.0,0.504,68.0,185.0,0.368,64.0,108.0,0.593,86.0,177.0,263.0,121.0,55.0,35.0,126.0,132.0,518.0,64.8
canisius,2014,5.0,1000.0,127.0,298.0,0.426,90.0,201.0,0.448,37.0,97.0,0.381,60.0,89.0,0.674,59.0,109.0,168.0,48.0,24.0,12.0,60.0,98.0,351.0,70.2
central-arkansas,2014,6.0,1200.0,153.0,367.0,0.417,100.0,228.0,0.439,53.0,139.0,0.381,70.0,112.0,0.625,62.0,144.0,206.0,72.0,59.0,23.0,103.0,149.0,429.0,71.5
central-connecticut-state,2014,6.0,1200.0,156.0,383.0,0.407,128.0,289.0,0.443,28.0,94.0,0.298,87.0,125.0,0.696,75.0,129.0,204.0,58.0,45.0,21.0,82.0,130.0,427.0,71.2
central-florida,2014,5.0,1000.0,129.0,306.0,0.422,98.0,210.0,0.467,31.0,96.0,0.323,59.0,115.0,0.513,79.0,125.0,204.0,56.0,31.0,14.0,68.0,93.0,348.0,69.6
central-michigan,2014,8.0,1599.0,205.0,463.0,0.443,144.0,262.0,0.55,61.0,201.0,0.303,139.0,175.0,0.794,86.0,174.0,260.0,106.0,59.0,11.0,74.0,121.0,610.0,76.3
charleston-southern,2014,6.0,1224.0,168.0,379.0,0.443,101.0,218.0,0.463,67.0,161.0,0.416,112.0,154.0,0.727,75.0,146.0,221.0,92.0,37.0,14.0,69.0,115.0,515.0,85.8
charlotte,2014,7.0,1400.0,184.0,407.0,0.452,147.0,304.0,0.484,37.0,103.0,0.359,134.0,195.0,0.687,94.0,200.0,294.0,89.0,49.0,25.0,101.0,128.0,539.0,77.0
chattanooga,2014,9.0,1800.0,262.0,566.0,0.463,198.0,375.0,0.528,64.0,191.0,0.335,150.0,226.0,0.664,118.0,217.0,335.0,100.0,85.0,44.0,133.0,193.0,738.0,82.0
chicago-state,2014,7.0,1401.0,176.0,418.0,0.421,129.0,267.0,0.483,47.0,151.0,0.311,109.0,161.0,0.677,77.0,147.0,224.0,78.0,64.0,13.0,88.0,168.0,508.0,72.6
cincinnati,2014,7.0,1400.0,198.0,427.0,0.464,157.0,315.0,0.498,41.0,112.0,0.366,123.0,174.0,0.707,109.0,161.0,270.0,97.0,67.0,43.0,79.0,132.0,560.0,80.0
citadel,2014,9.0,1799.0,224.0,527.0,0.425,153.0,345.0,0.443,71.0,182.0,0.39,145.0,198.0,0.732,97.0,237.0,334.0,143.0,50.0,23.0,127.0,188.0,664.0,73.8
clemson,2014,8.0,1601.0,194.0,434.0,0.447,143.0,294.0,0.486,51.0,140.0,0.364,108.0,141.0,0.766,99.0,224.0,323.0,97.0,44.0,61.0,93.0,124.0,547.0,68.4
cleveland-state,2014,7.0,1400.0,173.0,399.0,0.434,123.0,265.0,0.464,50.0,134.0,0.373,137.0,183.0,0.749,96.0,163.0,259.0,81.0,48.0,25.0,96.0,173.0,533.0,76.1
coastal-carolina,2014,7.0,1400.0,165.0,427.0,0.386,131.0,302.0,0.434,34.0,125.0,0.272,96.0,145.0,0.662,95.0,188.0,283.0,69.0,52.0,23.0,111.0,153.0,460.0,65.7
colgate,2014,6.0,1200.0,172.0,320.0,0.538,92.0,163.0,0.564,80.0,157.0,0.51,57.0,80.0,0.713,30.0,157.0,187.0,107.0,32.0,16.0,73.0,110.0,481.0,80.2
college-of-charleston,2014,8.0,1625.0,183.0,440.0,0.416,135.0,290.0,0.466,48.0,150.0,0.32,89.0,139.0,0.64,97.0,190.0,287.0,73.0,31.0,29.0,103.0,125.0,503.0,62.9
colorado,2014,9.0,1802.0,223.0,487.0,0.458,171.0,322.0,0.531,52.0,165.0,0.315,197.0,266.0,0.741,105.0,253.0,358.0,125.0,65.0,30.0,117.0,157.0,695.0,77.2
colorado-state,2014,9.0,1800.0,219.0,513.0,0.427,177.0,379.0,0.467,42.0,134.0,0.313,222.0,301.0,0.738,119.0,228.0,347.0,112.0,57.0,30.0,81.0,175.0,702.0,78.0
columbia,2014,8.0,1625.0,164.0,378.0,0.434,105.0,236.0,0.445,59.0,142.0,0.415,122.0,175.0,0.697,64.0,204.0,268.0,78.0,38.0,19.0,106.0,161.0,509.0,63.6
connecticut,2014,8.0,1400.0,212.0,437.0,0.485,146.0,290.0,0.503,66.0,147.0,0.449,118.0,159.0,0.742,72.0,201.0,273.0,104.0,55.0,51.0,90.0,147.0,608.0,76.0
coppin-state,2014,6.0,1200.0,134.0,344.0,0.39,99.0,217.0,0.456,35.0,127.0,0.276,118.0,162.0,0.728,63.0,136.0,199.0,57.0,39.0,13.0,69.0,109.0,421.0,70.2
cornell,2014,9.0,1825.0,232.0,547.0,0.424,154.0,317.0,0.486,78.0,230.0,0.339,76.0,129.0,0.589,99.0,201.0,300.0,121.0,29.0,27.0,112.0,191.0,618.0,68.7
creighton,2014,8.0,1600.0,231.0,469.0,0.493,139.0,265.0,0.525,92.0,204.0,0.451,113.0,161.0,0.702,76.0,221.0,297.0,147.0,45.0,17.0,89.0,143.0,667.0,83.4
dartmouth,2014,4.0,800.0,119.0,236.0,0.504,89.0,159.0,0.56,30.0,77.0,0.39,73.0,105.0,0.695,56.0,99.0,155.0,63.0,28.0,11.0,46.0,81.0,341.0,85.3
davidson,2014,7.0,1400.0,173.0,415.0,0.417,121.0,255.0,0.475,52.0,160.0,0.325,105.0,146.0,0.719,81.0,125.0,206.0,70.0,47.0,11.0,76.0,137.0,503.0,71.9
dayton,2014,7.0,1400.0,186.0,395.0,0.471,139.0,285.0,0.488,47.0,110.0,0.427,124.0,170.0,0.729,80.0,159.0,239.0,83.0,62.0,22.0,86.0,149.0,543.0,77.6
delaware,2014,8.0,1600.0,227.0,493.0,0.46,161.0,324.0,0.497,66.0,169.0,0.391,152.0,208.0,0.731,97.0,211.0,308.0,101.0,47.0,27.0,104.0,158.0,672.0,84.0
delaware-state,2014,5.0,1000.0,99.0,269.0,0.368,79.0,193.0,0.409,20.0,76.0,0.263,44.0,70.0,0.629,49.0,89.0,138.0,56.0,34.0,14.0,61.0,95.0,262.0,52.4
denver,2014,6.0,1225.0,123.0,304.0,0.405,76.0,170.0,0.447,47.0,134.0,0.351,83.0,113.0,0.735,48.0,115.0,163.0,97.0,43.0,32.0,71.0,129.0,376.0,62.7
depaul,2014,7.0,1400.0,188.0,393.0,0.478,139.0,269.0,0.517,49.0,124.0,0.395,124.0,175.0,0.709,93.0,144.0,237.0,88.0,48.0,22.0,99.0,155.0,549.0,78.4
detroit-mercy,2014,8.0,1435.0,196.0,491.0,0.399,146.0,330.0,0.442,50.0,161.0,0.311,170.0,213.0,0.798,107.0,205.0,312.0,99.0,59.0,46.0,102.0,178.0,612.0,76.5
drake,2014,7.0,1400.0,192.0,383.0,0.501,138.0,249.0,0.554,54.0,134.0,0.403,103.0,143.0,0.72,64.0,190.0,254.0,106.0,58.0,13.0,78.0,122.0,541.0,77.3
drexel,2014,6.0,1275.0,151.0,361.0,0.418,121.0,257.0,0.471,30.0,104.0,0.288,101.0,144.0,0.701,69.0,167.0,236.0,68.0,28.0,17.0,60.0,142.0,433.0,72.2
duke,2014,9.0,1800.0,263.0,507.0,0.519,188.0,329.0,0.571,75.0,178.0,0.421,174.0,236.0,0.737,79.0,214.0,293.0,145.0,59.0,29.0,93.0,184.0,775.0,86.1
duquesne,2014,5.0,1000.0,132.0,293.0,0.451,95.0,194.0,0.49,37.0,99.0,0.374,94.0,142.0,0.662,61.0,116.0,177.0,68.0,22.0,11.0,55.0,96.0,395.0,79.0
east-carolina,2014,8.0,1600.0,225.0,486.0,0.463,154.0,304.0,0.507,71.0,182.0,0.39,146.0,200.0,0.73,101.0,228.0,329.0,113.0,65.0,29.0,92.0,135.0,667.0,83.4
east-tennessee-state,2014,8.0,1601.0,185.0,413.0,0.448,139.0,276.0,0.504,46.0,137.0,0.336,164.0,237.0,0.692,66.0,201.0,267.0,85.0,42.0,22.0,117.0,192.0,580.0,72.5
eastern-illinois,2014,7.0,1400.0,162.0,364.0,0.445,124.0,246.0,0.504,38.0,118.0,0.322,108.0,162.0,0.667,72.0,136.0,208.0,78.0,44.0,48.0,87.0,135.0,470.0,67.1
eastern-kentucky,2014,8.0,1597.0,200.0,438.0,0.457,125.0,230.0,0.543,75.0,208.0,0.361,164.0,218.0,0.752,62.0,192.0,254.0,124.0,95.0,22.0,81.0,160.0,639.0,79.9
eastern-michigan,2014,7.0,1400.0,176.0,388.0,0.454,140.0,293.0,0.478,36.0,95.0,0.379,128.0,204.0,0.627,78.0,174.0,252.0,98.0,58.0,65.0,80.0,143.0,516.0,73.7
eastern-washington,2014,6.0,1200.0,182.0,363.0,0.501,131.0,242.0,0.541,51.0,121.0,0.421,74.0,115.0,0.643,62.0,168.0,230.0,84.0,30.0,26.0,72.0,97.0,489.0,81.5
elon,2014,8.0,1625.0,227.0,444.0,0.511,157.0,279.0,0.563,70.0,165.0,0.424,128.0,171.0,0.749,52.0,200.0,252.0,113.0,46.0,24.0,94.0,163.0,652.0,81.5
evansville,2014,7.0,1400.0,182.0,366.0,0.497,147.0,281.0,0.523,35.0,85.0,0.412,157.0,207.0,0.758,60.0,159.0,219.0,120.0,30.0,24.0,81.0,139.0,556.0,79.4
fairfield,2014,7.0,1399.0,134.0,353.0,0.38,97.0,223.0,0.435,37.0,130.0,0.285,89.0,136.0,0.654,70.0,180.0,250.0,69.0,35.0,26.0,117.0,172.0,394.0,56.3
fairleigh-dickinson,2014,8.0,1600.0,180.0,453.0,0.397,125.0,277.0,0.451,55.0,176.0,0.313,98.0,145.0,0.676,89.0,162.0,251.0,83.0,57.0,31.0,97.0,182.0,513.0,64.1
florida-am,2014,6.0,1200.0,149.0,365.0,0.408,113.0,259.0,0.436,36.0,106.0,0.34,77.0,116.0,0.664,74.0,131.0,205.0,55.0,55.0,21.0,86.0,151.0,411.0,68.5
florida-atlantic,2014,8.0,1600.0,190.0,463.0,0.41,145.0,318.0,0.456,45.0,145.0,0.31,115.0,191.0,0.602,112.0,205.0,317.0,93.0,38.0,26.0,114.0,168.0,540.0,67.5
florida,2014,8.0,1600.0,202.0,434.0,0.465,162.0,323.0,0.502,40.0,111.0,0.36,135.0,196.0,0.689,95.0,191.0,286.0,101.0,63.0,24.0,88.0,127.0,579.0,72.4
florida-gulf-coast,2014,7.0,1401.0,179.0,383.0,0.467,136.0,264.0,0.515,43.0,119.0,0.361,74.0,121.0,0.612,58.0,179.0,237.0,92.0,34.0,25.0,80.0,117.0,475.0,67.9
